Date,ASII.JK,BBCA.JK,BMRI.JK,ICBP.JK,KLBF.JK,SMGR.JK,TLKM.JK,UNTR.JK
2022-11-07,4619.37060546875,7725.08740234375,4131.37646484375,9183.513671875,1899.1256103515625,7453.953125,3588.047119140625,19634.00390625
2022-11-08,4637.13720703125,7637.79833984375,4091.070556640625,9183.513671875,1861.519287109375,7182.90087890625,3537.7470703125,19571.2265625
2022-11-09,4654.904296875,7746.91015625,4091.070556640625,9183.513671875,1842.7159423828125,7115.1376953125,3512.597412109375,19461.361328125
2022-11-10,4637.13720703125,7681.44287109375,4070.91796875,9159.9658203125,1861.519287109375,7205.48876953125,3495.83056640625,18456.904296875
2022-11-11,4583.83740234375,7725.08740234375,4201.91259765625,9277.703125,1880.322509765625,7341.0146484375,3479.064208984375,18205.791015625
2022-11-14,4477.236328125,7637.79833984375,4131.37646484375,9183.513671875,1889.72412109375,7228.076171875,3395.231201171875,18017.453125
2022-11-15,4423.93603515625,7681.44287109375,4131.37646484375,9230.6083984375,1908.52734375,7182.90087890625,3395.231201171875,17986.064453125
2022-11-16,4388.40185546875,7506.86474609375,4030.611572265625,9207.0615234375,1908.52734375,6889.26025390625,3395.231201171875,18048.84375
2022-11-17,4477.236328125,7615.9765625,3990.3056640625,9112.87109375,1908.52734375,6889.26025390625,3386.847900390625,17970.37109375
2022-11-18,4423.93603515625,7703.265625,4101.14697265625,9089.3232421875,1936.732177734375,6979.61083984375,3361.697998046875,18080.234375
2022-11-21,4495.0029296875,7615.9765625,4070.91796875,9230.6083984375,1983.740234375,6934.435546875,3378.46484375,18080.234375
2022-11-22,4423.93603515625,7768.7333984375,4080.994140625,9089.3232421875,1899.1256103515625,6957.0234375,3353.31494140625,18174.400390625
2022-11-23,4406.1689453125,7746.91015625,4111.22314453125,9324.796875,1927.3304443359375,6911.84765625,3328.1650390625,18598.158203125
2022-11-24,4406.1689453125,7856.021484375,4121.2998046875,9230.6083984375,1946.1337890625,6866.6728515625,3378.46484375,18817.880859375
2022-11-25,4388.40185546875,7834.19921875,4101.14697265625,9324.796875,1974.3385009765625,6957.0234375,3378.46484375,18739.408203125
2022-11-28,4423.93603515625,7877.84326171875,4080.994140625,9395.439453125,1993.1417236328125,6957.0234375,3336.548095703125,18676.62890625
2022-11-29,4299.568359375,7834.19921875,4161.6064453125,9395.439453125,1974.3385009765625,6866.6728515625,3336.548095703125,19273.025390625
2022-11-30,4299.568359375,8117.888671875,4242.21826171875,9513.177734375,1946.1337890625,6866.6728515625,3386.847900390625,19335.8046875
2022-12-01,4388.40185546875,7856.021484375,4191.8359375,9560.2724609375,1927.3304443359375,6957.0234375,3319.78173828125,19257.33203125
2022-12-02,4352.86865234375,7799.06201171875,4242.21826171875,9607.3671875,1936.732177734375,6934.435546875,3353.31494140625,18347.041015625
2022-12-05,4281.80078125,7689.52587890625,4383.28955078125,9748.6513671875,1936.732177734375,6957.0234375,3219.182373046875,17891.896484375
2022-12-06,4175.20068359375,7601.89453125,4393.36669921875,9748.6513671875,1908.52734375,6482.6806640625,3017.9833984375,17640.78125
2022-12-07,4068.599853515625,7404.7275390625,4181.75927734375,9725.10546875,1908.52734375,6324.56640625,3085.049560546875,17609.39453125
2022-12-08,4033.066162109375,7448.54296875,4050.764404296875,9607.3671875,2011.945068359375,6279.39111328125,3135.349609375,17138.552734375
2022-12-09,4033.066162109375,7514.2646484375,4000.38232421875,9560.2724609375,2002.5433349609375,6279.39111328125,3059.899658203125,16400.90625
2022-12-12,4033.066162109375,7623.80322265625,4010.45849609375,9795.7470703125,2021.3465576171875,6098.68896484375,3101.81640625,16871.744140625
2022-12-13,4139.66650390625,7623.80322265625,3990.3056640625,9701.5576171875,1983.740234375,6342.16259765625,3143.732666015625,16840.357421875
2022-12-14,4139.66650390625,7558.0810546875,4010.45849609375,9725.10546875,1993.1417236328125,6342.16259765625,3143.732666015625,16856.048828125
2022-12-15,4121.89990234375,7448.54296875,3990.3056640625,9701.5576171875,1927.3304443359375,6546.01806640625,3076.66650390625,16652.021484375
2022-12-16,4104.13330078125,7536.171875,4070.91796875,9819.294921875,1993.1417236328125,6364.81298828125,3085.049560546875,16667.71484375
2022-12-19,4050.8330078125,7579.9873046875,4030.611572265625,9560.2724609375,2040.1500244140625,6296.86181640625,3118.582763671875,16856.048828125
