Date,ASII.JK,BBCA.JK,TLKM.JK,TPIA.JK
2022-01-07,4090.468017578125,6864.73291015625,3372.476806640625,1803.6278076171875
2022-01-10,4054.586669921875,6819.86572265625,3315.86474609375,1828.505615234375
2022-01-11,4090.468017578125,6909.60009765625,3307.777099609375,1809.84716796875
2022-01-12,4108.40869140625,6909.60009765625,3323.9521484375,1872.041259765625
2022-01-13,4144.28955078125,6909.60009765625,3380.564208984375,1878.2607421875
2022-01-14,4108.40869140625,7044.20263671875,3388.65185546875,1865.8218994140625
2022-01-17,4072.527587890625,6954.46826171875,3380.564208984375,1865.8218994140625
2022-01-18,4054.586669921875,6887.1669921875,3437.176513671875,1909.3577880859375
2022-01-19,4018.70556640625,6887.1669921875,3437.176513671875,1915.5772705078125
2022-01-20,3964.883056640625,6976.90185546875,3412.914306640625,1959.113037109375
2022-01-21,4018.70556640625,7133.9384765625,3501.87646484375,2002.64892578125
2022-01-24,3964.883056640625,6999.3359375,3477.61376953125,2015.0877685546875
2022-01-25,3911.061279296875,6976.90185546875,3469.5263671875,2027.526611328125
2022-01-26,3911.061279296875,6909.60009765625,3550.401123046875,2064.843017578125
2022-01-27,3929.00146484375,6999.3359375,3453.3515625,2089.720458984375
2022-01-28,3929.00146484375,6976.90185546875,3445.26416015625,2133.256591796875
2022-01-31,3929.00146484375,6842.298828125,3388.65185546875,2195.450439453125
2022-02-02,3946.9423828125,6999.3359375,3372.476806640625,2263.864013671875
2022-02-03,3946.9423828125,6932.03369140625,3396.7392578125,2313.619140625
2022-02-04,3946.9423828125,6932.03369140625,3421.001708984375,2394.4716796875
2022-02-07,3929.00146484375,6999.3359375,3469.5263671875,2481.543212890625
2022-02-08,3982.82373046875,6932.03369140625,3421.001708984375,2537.517822265625
2022-02-09,3982.82373046875,7133.9384765625,3461.439208984375,2624.58984375
2022-02-10,3911.061279296875,6954.46826171875,3607.013671875,2680.564453125
2022-02-11,3911.061279296875,7021.76953125,3598.92578125,2493.982177734375
2022-02-14,3803.417236328125,6909.60009765625,3558.48876953125,2338.496826171875
2022-02-15,3946.9423828125,7066.63623046875,3566.576416015625,2419.34912109375
2022-02-16,3929.00146484375,7156.37158203125,3558.48876953125,2438.00732421875
2022-02-17,3929.00146484375,7089.0712890625,3566.576416015625,2350.935791015625
2022-02-18,4018.70556640625,7111.50390625,3558.48876953125,2363.374755859375
2022-02-21,4000.764404296875,7133.9384765625,3534.226318359375,2338.496826171875
2022-02-22,4000.764404296875,7089.0712890625,3477.61376953125,2307.400146484375
2022-02-23,4054.586669921875,7223.67333984375,3518.051513671875,2313.619140625
2022-02-24,4090.468017578125,7178.80615234375,3429.089111328125,2220.328125
2022-02-25,4162.23046875,7223.67333984375,3509.964111328125,2245.205810546875
2022-03-01,4090.468017578125,7223.67333984375,3518.051513671875,2313.619140625
2022-03-02,3964.883056640625,7156.37158203125,3469.5263671875,2257.644775390625
2022-03-04,4036.646240234375,7089.0712890625,3558.48876953125,2226.547607421875
2022-03-07,4162.23046875,6909.60009765625,3647.451171875,2127.037109375
2022-03-08,4485.162109375,6864.73291015625,3736.413330078125,2064.843017578125
2022-03-09,4521.04296875,7044.20263671875,3590.838623046875,2120.817626953125
2022-03-10,4485.162109375,7111.50390625,3566.576416015625,2189.231201171875
2022-03-11,4503.10302734375,7133.9384765625,3712.15087890625,2195.450439453125
2022-03-14,4574.86572265625,7246.10693359375,3704.0634765625,2226.547607421875
2022-03-15,4521.04296875,7313.4072265625,3736.413330078125,2251.42529296875
2022-03-16,4592.8056640625,7358.27587890625,3744.50048828125,2375.8134765625
2022-03-17,4610.74658203125,7178.80615234375,3623.188720703125,2332.277587890625
2022-03-18,4592.8056640625,7089.0712890625,3671.713134765625,2357.155029296875
2022-03-21,4736.33154296875,7089.0712890625,3679.80078125,2382.03271484375
2022-03-22,4718.39013671875,7111.50390625,3679.80078125,2369.593994140625
2022-03-23,4646.6279296875,7089.0712890625,3679.80078125,2382.03271484375
2022-03-24,4718.39013671875,7111.50390625,3687.887939453125,2375.8134765625
2022-03-25,4592.8056640625,7133.9384765625,3655.538330078125,2363.374755859375
2022-03-28,4808.09423828125,7197.7158203125,3720.238037109375,2413.129638671875
2022-03-29,4700.44970703125,7152.16015625,3687.887939453125,2469.1044921875
2022-03-30,4772.21240234375,7174.9375,3704.0634765625,2487.7626953125
2022-03-31,4718.39013671875,7266.0478515625,3704.0634765625,2512.640380859375
2022-04-01,4808.09423828125,7220.4921875,3704.0634765625,2525.0791015625
2022-04-04,4897.79736328125,7197.7158203125,3671.713134765625,2556.176513671875
2022-04-05,4951.619140625,7197.7158203125,3655.538330078125,2605.931396484375
2022-04-06,5023.38134765625,7061.05029296875,3582.751220703125,2624.58984375
2022-04-07,4951.619140625,7061.05029296875,3671.713134765625,2637.028564453125
2022-04-08,5023.38134765625,7152.16015625,3704.0634765625,2674.3447265625
