Date,ADRO.JK,AMRT.JK,ASII.JK,BBCA.JK,BBRI.JK,BMRI.JK,ICBP.JK,KLBF.JK,SMGR.JK,TLKM.JK,TPIA.JK,UNTR.JK
2021-08-03,424.692138671875,1327.6297607421875,3348.032958984375,5265.28369140625,2425.063720703125,2221.754638671875,7369.3056640625,1209.765380859375,7305.173828125,2693.12890625,2326.05810546875,11228.849609375
2021-08-04,427.8379821777344,1318.0439453125,3320.923095703125,5243.8623046875,2489.732421875,2240.99072265625,7324.50830078125,1200.565673828125,7437.19580078125,2725.47900390625,2344.71630859375,11096.9169921875
2021-08-05,408.9628601074219,1294.07958984375,3314.146240234375,5398.09375,2619.06884765625,2327.552490234375,7302.10888671875,1191.3660888671875,7393.1884765625,2701.21630859375,2326.05810546875,11082.259765625
2021-08-06,405.81695556640625,1308.4581298828125,3348.032958984375,5278.13623046875,2541.466796875,2298.69873046875,7414.1044921875,1168.3665771484375,7437.19580078125,2685.041259765625,2332.277587890625,11082.259765625
2021-08-09,408.9628601074219,1380.3515625,3293.81396484375,5312.41015625,2489.732421875,2231.37255859375,7302.10888671875,1140.7674560546875,7349.181640625,2628.42919921875,2288.74169921875,10964.984375
2021-08-10,421.5462951660156,1380.3515625,3327.700927734375,5398.09375,2470.331298828125,2231.37255859375,7212.51318359375,1200.565673828125,7459.19921875,2612.25390625,2288.74169921875,11140.8935546875
2021-08-12,443.5674133300781,1342.008544921875,3348.032958984375,5398.09375,2463.86474609375,2279.462646484375,7234.912109375,1186.76611328125,7723.24169921875,2709.303955078125,2276.302978515625,12137.7099609375
2021-08-13,435.7027282714844,1346.8013916015625,3405.640625,5492.34619140625,2502.66552734375,2308.31640625,7346.9072265625,1195.9659423828125,7811.25439453125,2668.866455078125,2301.180419921875,12108.3935546875
2021-08-16,429.4110107421875,1346.8013916015625,3439.52783203125,5500.91552734375,2541.466796875,2298.69873046875,7391.70556640625,1195.9659423828125,7965.27978515625,2701.21630859375,2245.2060546875,11829.8720703125
2021-08-18,421.5462951660156,1255.736572265625,3541.18896484375,5655.146484375,2632.00244140625,2327.552490234375,7481.3017578125,1205.16552734375,8295.333984375,2765.916259765625,2263.864013671875,11566.0078125
